2024-12-14T19:20:34.337Z [INFO]: Polygon WebSocket connected.
2024-12-14T19:20:34.343Z [INFO]: Started polling for order statuses.
2024-12-14T19:20:34.509Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T19:20:34.510Z [INFO]: Polygon WebSocket connected.
2024-12-14T19:20:34.531Z [ERROR]: Error adding symbol WKEY to watchlist: this.restClient.getIntradayHighFromAgg is not a function
2024-12-14T19:20:34.566Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:25:52.822Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:25:52.830Z [INFO]: Started polling for order statuses.
2024-12-14T20:25:53.165Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T20:25:53.168Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:25:53.219Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:25:53.446Z [INFO]: Subscribed to WKEY quote data.
2024-12-14T20:26:07.216Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:26:07.222Z [INFO]: Started polling for order statuses.
2024-12-14T20:26:07.390Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T20:26:07.391Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:26:07.443Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:26:07.585Z [INFO]: Subscribed to WKEY quote data.
2024-12-15T15:48:43.458Z [INFO]: Polygon WebSocket connected.
2024-12-15T15:48:43.466Z [INFO]: Started polling for order statuses.
2024-12-15T15:48:43.628Z [INFO]: Polygon WebSocket connection opened.
2024-12-15T15:48:43.630Z [INFO]: Polygon WebSocket connected.
2024-12-15T15:48:43.678Z [INFO]: Polygon WebSocket authenticated.
2024-12-15T15:48:43.789Z [INFO]: Subscribed to WKEY quote data.
2024-12-15T23:14:36.467Z [INFO]: Polygon WebSocket connected.
2024-12-15T23:14:36.477Z [INFO]: Started polling for order statuses.
2024-12-15T23:14:36.646Z [INFO]: Polygon WebSocket connection opened.
2024-12-15T23:14:36.647Z [INFO]: Polygon WebSocket connected.
2024-12-15T23:14:36.701Z [INFO]: Polygon WebSocket authenticated.
2024-12-15T23:14:36.835Z [INFO]: Subscribed to WKEY quote data.
2024-12-16T04:03:18.142Z [INFO]: Polygon WebSocket connected.
2024-12-16T04:03:18.148Z [INFO]: Started polling for order statuses.
2024-12-16T04:03:18.461Z [INFO]: Polygon WebSocket connection opened.
2024-12-16T04:03:18.462Z [INFO]: Polygon WebSocket connected.
2024-12-16T04:03:18.524Z [INFO]: Polygon WebSocket authenticated.
2024-12-16T04:03:18.775Z [INFO]: Subscribed to WKEY quote data.
2024-12-16T04:03:28.206Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:03:38.161Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:03:48.163Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:03:58.164Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:08.162Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:18.165Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:28.166Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:38.166Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:48.167Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:04:58.170Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:08.172Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:18.171Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:28.172Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:38.170Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:48.172Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:05:58.174Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:08.173Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:18.173Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:28.176Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:38.175Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:48.176Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:06:58.178Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:08.177Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:18.179Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:28.179Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:38.180Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:48.180Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:07:58.181Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:08.182Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:18.183Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:28.185Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:38.188Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:48.191Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:08:58.191Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:08.190Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:18.189Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:28.190Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:38.192Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:48.190Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:09:58.197Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:08.195Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:18.194Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:28.197Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:38.197Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:48.200Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:10:58.201Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:08.205Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:18.205Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:28.210Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:38.211Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:48.216Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:11:58.216Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:08.217Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:18.220Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:28.221Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:38.220Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:48.223Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:12:58.224Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:08.228Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:18.231Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:28.230Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:38.230Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:48.230Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:13:58.230Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:08.235Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:18.238Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:28.240Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:38.239Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:48.241Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:14:58.245Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:08.247Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:18.245Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:28.246Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:38.246Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:48.254Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:15:58.253Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:08.254Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:18.249Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:28.254Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:38.257Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:48.255Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:16:58.259Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:17:08.263Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:17:18.260Z [INFO]: Dynamic config reloaded. Updated override symbols.
